Strategy,TimestampUTC,Return%,Sharpe,MaxDD%,Trades,WinRate%,AvgWin%,AvgLoss%,Expectancy%,Exposure%,prob,size,stop,take,trail,ok
1.3590062685266746,0.017834995020695448,0.0241391519478927,6.661942324589565,360.0,45.83333333333333,1.0655077222280895,2025-09-15 18:04:55,,,,0.7,0.5,0.02,0.02,0.01,True
2.28939994726145,0.02890909851199914,0.0373833292404332,7.486684762156171,360.0,46.94444444444444,1.111456432998727,2025-09-15 18:04:56,,,,0.7,0.5,0.02,0.02,0.02,True
-0.5753833807742414,-0.006691795568416012,-0.0083894063622339,5.378119891128308,360.0,45.55555555555556,0.9773092840191304,2025-09-15 18:04:57,,,,0.7,0.5,0.02,0.03,0.01,True
0.3372541658895223,0.0055095745299884894,0.0066123615050745,6.2204112484121605,360.0,46.666666666666664,1.019644588904023,2025-09-15 18:04:58,,,,0.7,0.5,0.02,0.03,0.02,True
-0.5753833807742414,-0.006691795568416012,-0.0083894063622339,5.378119891128308,360.0,45.55555555555556,0.9773092840191304,2025-09-15 18:04:59,,,,0.7,0.5,0.02,0.05,0.01,True
0.3372541658895223,0.0055095745299884894,0.0066123615050745,6.2204112484121605,360.0,46.666666666666664,1.019644588904023,2025-09-15 18:05:00,,,,0.7,0.5,0.02,0.05,0.02,True
4.654645565784099,0.031561861354145904,0.0470385844160331,12.808258083378698,360.0,45.83333333333333,1.116275889734583,2025-09-15 18:05:01,,,,0.7,1.0,0.01,0.02,0.01,True
4.654645565784099,0.031561861354145904,0.0470385844160331,12.808258083378698,360.0,45.83333333333333,1.116275889734583,2025-09-15 18:05:03,,,,0.7,1.0,0.01,0.02,0.02,True
0.7241244993190232,0.007052284651668308,0.0096626035029547,10.428946236681892,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:05:04,,,,0.7,1.0,0.01,0.03,0.01,True
0.7241244993190232,0.007052284651668308,0.0096626035029547,10.428946236681892,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:05:05,,,,0.7,1.0,0.01,0.03,0.02,True
0.7241244993190232,0.007052284651668308,0.0096626035029547,10.428946236681892,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:05:06,,,,0.7,1.0,0.01,0.05,0.01,True
0.7241244993190232,0.007052284651668308,0.0096626035029547,10.428946236681892,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:05:07,,,,0.7,1.0,0.01,0.05,0.02,True
2.551088257707401,0.01783499899577689,0.0241391592297824,12.808258083378654,360.0,45.83333333333333,1.0655077222280895,2025-09-15 18:05:08,,,,0.7,1.0,0.02,0.02,0.01,True
4.438720602600799,0.02890910489758867,0.0373833399183832,14.304842140724606,360.0,46.94444444444444,1.111456432998727,2025-09-15 18:05:09,,,,0.7,1.0,0.02,0.02,0.02,True
-1.3004293754250384,-0.006691797181729725,-0.0083894088979228,10.42894623668188,360.0,45.55555555555556,0.9773092840191304,2025-09-15 18:05:11,,,,0.7,1.0,0.02,0.03,0.01,True
0.5163090434774587,0.005509575843986753,0.0066123633977313,12.000100888974409,360.0,46.666666666666664,1.019644588904023,2025-09-15 18:05:12,,,,0.7,1.0,0.02,0.03,0.02,True
-1.3004293754250384,-0.006691797181729725,-0.0083894088979228,10.42894623668188,360.0,45.55555555555556,0.9773092840191304,2025-09-15 18:05:13,,,,0.7,1.0,0.02,0.05,0.01,True
0.5163090434774587,0.005509575843986753,0.0066123633977313,12.000100888974409,360.0,46.666666666666664,1.019644588904023,2025-09-15 18:05:14,,,,0.7,1.0,0.02,0.05,0.02,True
